日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/09/19,20724347,9713676332,472.0,473.0,466.5,467.0,-5.00,45650
111/09/20,23269759,11027746136,470.5,478.0,470.0,476.5,+9.50,20621
111/09/21,24686050,11641957557,473.5,475.5,468.5,471.0,-5.50,30847
111/09/22,31417685,14524615830,462.0,468.0,459.0,464.5,-6.50,53974
111/09/23,32804066,15005076330,458.5,460.5,455.0,455.0,-9.50,82492
111/09/26,34856957,15560487370,443.0,454.0,443.0,446.5,-8.50,75861
111/09/27,29570005,13260363913,449.0,451.5,446.0,448.0,+1.50,29995
111/09/28,37827459,16693442543,447.0,449.0,438.0,438.0,-10.00,78780
111/09/29,42884163,18748910795,443.0,443.5,432.0,435.0,-3.00,70971
111/09/30,58366820,24750796363,424.5,427.5,422.0,422.0,-13.00,87052
111/10/03,38354967,16068149231,418.5,424.5,416.5,417.0,-5.0,70127
111/10/04,42455417,18225995343,429.5,432.0,427.0,429.0,12.0,31696
111/10/05,48321335,21583755745,444.5,451.0,442.0,445.0,16.0,51865
111/10/06,30750331,13821382520,450.5,451.0,447.0,451.0,6.0,24907
111/10/07,32872044,14505036044,448.5,448.5,437.0,438.0,-13.0,45112
111/10/11,109842903,44572345642,408.0,412.5,401.0,401.5,-36.5,210614
111/10/12,64138351,25536098386,397.0,400.0,395.5,397.5,-4.0,114055
111/10/13,43158592,17239718998,400.5,403.0,395.0,395.0,-2.5,66846
111/10/14,59841064,24714069328,414.5,416.0,409.0,412.0,17.0,54666
111/10/17,45038159,17954868983,400.0,403.5,396.0,397.0,-15.0,66589
111/10/18,41304834,16675510801,406.5,407.0,399.5,407.0,10.0,30538
111/10/19,48655069,19398261013,404.0,405.0,395.5,395.5,-11.5,68211
111/10/20,63202035,24682371387,391.0,397.5,386.0,397.5,2.0,76430
111/10/21,38968511,15297273710,395.5,398.5,389.5,389.5,-8.0,64043
111/10/24,48691083,18995017699,395.0,397.5,387.0,387.0,-2.5,58612
111/10/25,81173913,30515958539,380.0,382.5,371.0,371.0,-16.0,155200
111/10/26,61440878,23045141097,370.5,379.0,370.0,376.0,5.0,46073
111/10/27,47160778,18190840150,384.5,389.0,382.5,385.5,9.5,37777
111/10/28,44691746,16923109361,379.5,382.0,375.0,379.5,-6.0,48116
111/10/31,40598928,15721543079,386.0,390.0,381.0,390.0,10.5,32816
111/11/01,42123141,16428079355,388.5,393.0,386.0,391.5,1.5,29780
111/11/02,23169428,9091891929,391.0,395.0,388.5,395.0,3.5,22285
111/11/03,42092776,16201844314,385.0,387.0,383.5,384.0,-11.0,52660
111/11/04,30839846,11762941797,381.0,384.5,378.5,382.0,-2.0,26895
111/11/07,37704746,14710405524,390.0,393.0,387.0,390.0,8.0,30880
111/11/08,32576136,12954941396,395.0,399.5,394.0,399.0,9.0,35956
111/11/09,56357663,23188739823,403.5,417.0,403.5,417.0,18.0,67569
111/11/10,33671621,13757669359,409.0,411.5,406.0,407.5,-9.5,36471
111/11/11,83770040,36838808146,441.5,442.0,435.0,441.5,34.0,100349
111/11/14,63282094,28257175788,450.0,450.0,441.5,445.0,3.5,48957
111/11/15,118536865,56191637241,465.0,487.0,462.0,480.0,35.0,139136
111/11/16,88416393,43103738374,491.5,494.0,481.5,487.0,7.0,98338
111/11/17,46850915,22547582604,482.5,485.0,475.0,485.0,-2.0,57331
111/11/18,37001332,18131673834,491.5,494.0,486.0,487.0,2.0,41694
111/11/21,30609465,14843805078,487.5,489.5,480.5,482.0,-5.0,35815
111/11/22,39329440,19112616916,476.0,491.0,476.0,491.0,9.0,40964
111/11/23,34752559,17111333375,494.5,496.0,488.5,492.0,1.0,32889
111/11/24,28477359,14073196704,494.0,496.0,492.0,496.0,4.0,34387
111/11/25,41461805,20594790238,494.0,498.0,494.0,498.0,2.0,34399
111/11/28,40815045,19790586320,486.0,490.0,480.5,480.5,-17.5,57163
111/11/29,40266315,19374604221,473.5,488.0,473.0,487.0,6.5,35929
111/11/30,60728041,29643130386,483.0,490.0,482.5,490.0,3.0,25325
111/12/01,43684491,21976936461,506.0,508.0,498.5,498.5,+8.50,46181
111/12/02,29909021,14745810388,490.0,497.0,490.0,492.5,-6.00,31799
111/12/05,33048153,16272219716,491.5,497.5,489.0,489.0,-3.50,31739
111/12/06,44964237,21703863181,488.0,489.0,478.0,478.0,-11.00,44448
111/12/07,39978821,19128832587,477.0,485.5,475.0,475.0,-3.00,43603
111/12/08,28348573,13366736635,475.0,475.0,467.0,471.5,-3.50,45114
111/12/09,28903860,13881674073,478.0,484.5,476.0,481.5,+10.00,25790
111/12/12,24064002,11435789974,476.5,478.0,473.5,475.0,-6.50,34393
111/12/13,36028109,17034191389,473.0,476.0,471.0,471.5,-3.50,36559
111/12/14,35263781,16860500181,472.0,480.5,472.0,480.5,+9.00,25102
111/12/15,26001756,12446105928,476.0,481.5,474.5,480.5,X0.00,21052
111/12/16,51707693,24262026661,466.5,471.0,465.5,471.0,-9.50,69011
111/12/19,24231653,11320207884,466.5,469.5,465.0,466.5,-4.50,30247
111/12/20,33181363,15291302176,465.0,467.0,455.0,457.5,-9.00,59543
111/12/21,40831313,18763874901,460.0,463.0,457.0,459.0,+1.50,31581
111/12/22,14519582,6784664988,466.5,469.0,464.0,468.0,+9.00,16893
111/12/23,26724153,12200056423,457.5,458.5,455.0,455.0,-13.00,63532
111/12/26,9152790,4171194858,454.0,457.0,453.5,456.5,+1.50,16718
111/12/27,10486219,4820155221,458.0,462.5,457.0,457.0,+0.50,13482
111/12/28,34823492,15643266841,451.0,452.0,446.0,451.0,-6.00,59400
111/12/29,25596357,11400284554,444.0,449.5,442.5,446.0,-5.00,34637
111/12/30,22297604,10079102379,455.0,456.5,448.5,448.5,+2.50,23086
